收款商户号,支付记录编号,支付时间,支付金额,收入金额,通道号,银行支付记录编号,成功日期,清算勾兑日期,内扣手续费,外扣手续费,对账类型,记录生成日期
20121114018,20130325_131129,2013/3/25 21:44:10,2000,11.92,104,,2013/3/25 21:44:10,2013/3/25 0:00:00,,1,1,2013/3/26 10:42:28
20121114018,20130325_131127,2013/3/25 21:40:28,10000,59.6,104,,2013/3/25 21:40:28,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131113,2013/3/25 21:11:12,5000,29.8,104,,2013/3/25 21:11:12,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131101,2013/3/25 20:45:06,2000,11.92,104,,2013/3/25 20:45:06,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131100,2013/3/25 20:44:21,1000,5.96,104,,2013/3/25 20:44:21,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131099,2013/3/25 20:43:39,1000,5.96,104,,2013/3/25 20:43:39,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131098,2013/3/25 20:42:50,1000,5.96,104,,2013/3/25 20:42:50,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131093,2013/3/25 20:39:49,1000,5.96,104,,2013/3/25 20:39:49,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131090,2013/3/25 20:35:52,3000,17.88,104,,2013/3/25 20:35:52,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131085,2013/3/25 20:17:27,100,0.596,104,,2013/3/25 20:17:27,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131084,2013/3/25 20:15:25,100,0.596,104,,2013/3/25 20:15:25,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131077,2013/3/25 19:45:34,7000,41.72,104,,2013/3/25 19:45:34,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131074,2013/3/25 19:32:52,4800,28.608,104,,2013/3/25 19:32:52,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
20121114018,20130325_131069,2013/3/25 19:07:40,1000,5.96,104,,2013/3/25 19:07:40,2013/3/25 0:00:00,,,1,2013/3/26 10:42:28
