收款商户号,支付记录编号,出款产品类型,出款金额,收入金额,银行接口编号,银行成功日期,内扣银行手续费,外扣银行手续费,记录生成日期
20121114018,20130326001,1,1000,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326002,1,1457743.88,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326003,1,1571929.6,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326004,1,409700.32,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326005,1,200,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326006,1,23700,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326007,1,135200,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326008,1,65533.71,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326009,1,159113,0,10000000,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022452,2,2002.17,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022465,2,1,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022468,2,1,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022459,2,13014.75,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022451,2,700.79,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022460,2,110685.06,5.5,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022435,2,5005.67,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022449,2,15017.01,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022407,2,180066.71,5.5,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022404,2,9861.42,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022454,2,4003.88,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022438,2,5220.39,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022436,2,1007.7,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022422,2,50041.09,5.5,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022461,2,25170.72,5.5,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022457,2,368460.99,5.5,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022439,2,10011.36,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022412,2,3875.57,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022462,2,69395.6,5.5,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022427,2,20,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022440,2,50202.95,5.5,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022437,2,7019.08,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022406,2,1200,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022448,2,16276.04,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022428,2,50.01,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022442,2,15017.02,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022426,2,150.09,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022416,2,100.76,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022467,2,1.34,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
