收款商户号,支付记录编号,出款产品类型,出款金额,收入金额,银行接口编号,银行成功日期,内扣银行手续费,外扣银行手续费,记录生成日期
20121114018,20130328001,1,361,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328002,1,1456912.22,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328003,1,798089.55,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328004,1,164342.26,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328005,1,3800,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328006,1,213943.97,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328007,1,500,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328008,1,148000,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328009,1,81100,0,10000000,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022579,2,1000,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022575,2,726.66,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022621,2,981325.19,5.5,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022597,2,9.87,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022584,2,201742.38,5.5,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022573,2,54.05,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022572,2,9016.47,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022598,2,550.44,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022586,2,1,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022585,2,9.87,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022603,2,1057.08,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022602,2,92.5,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022576,2,2000.99,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022613,2,1502.04,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022625,2,0.28,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022620,2,30035.79,5.5,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022599,2,9007.24,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022578,2,32210.75,5.5,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022619,2,9.27,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022600,2,11033.17,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022614,2,9025.9,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022610,2,1000,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022616,2,100137.21,5.5,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022615,2,1601.84,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022582,2,502.38,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022581,2,99.47,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022574,2,4119.26,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022590,2,603.41,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022589,2,1000.53,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022617,2,10013.23,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022612,2,500.68,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022601,2,1001.75,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022591,2,600.56,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022583,2,1000,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022611,2,1401.98,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022592,2,1000.8,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022593,2,1501.2,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022622,2,10011.25,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022624,2,18020.26,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022580,2,998.96,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022588,2,1522.2,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022594,2,2501.33,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022595,2,1000.53,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022618,2,59832.91,5.5,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022596,2,1577.66,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022587,2,2000.36,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022623,2,500.12,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022608,2,10000,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022604,2,1000,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022577,2,500,2,800001,2013/3/28 0:00:00,,,2013/3/29 0:00:00
20121114018,20130328022532,2,1000,2,800002,2013/3/28 0:00:00,,,2013/3/29 0:00:00
